t	P_kN	v4_mm	sigma1	sigma2	sigma3	sigma4
2.713567839195979992e-01	2.861966080402008927e+01	-4.456699958911087123e+01	7.947615876236669408e+01	-8.140703517587940041e+01	-7.563766133999983765e+01	5.479878761028827938e+01
2.814070351758793942e-01	2.967964824120601719e+01	-4.621762920352238524e+01	8.241972019800991234e+01	-8.442211055276382581e+01	-7.843905620444428450e+01	5.682837233659525111e+01
2.914572864321607892e-01	3.073963567839194866e+01	-4.786825881793389925e+01	8.536328163365313060e+01	-8.743718592964825120e+01	-8.124045106888873136e+01	5.885795706290222284e+01
3.015075376884422398e-01	3.179962311557788013e+01	-4.951888843234540616e+01	8.830684306929633465e+01	-9.045226130653266239e+01	-8.404184593333320663e+01	6.088754178920913773e+01
3.115577889447236348e-01	3.285961055276380449e+01	-5.116951804675692017e+01	9.125040450493953870e+01	-9.346733668341707357e+01	-8.684324079777761085e+01	6.291712651551610946e+01
3.216080402010050299e-01	3.391959798994973596e+01	-5.282014766116843418e+01	9.419396594058274275e+01	-9.648241206030151318e+01	-8.964463566222202928e+01	6.494671124182309541e+01
3.316582914572864249e-01	3.497958542713566743e+01	-5.447077727557995530e+01	9.713752737622597522e+01	-9.949748743718595279e+01	-9.244603052666649035e+01	6.697629596813008845e+01
3.417085427135678199e-01	3.603957286432159179e+01	-5.612140688999145510e+01	1.000810888118691651e+02	-1.025125628140703640e+02	-9.524742539111090878e+01	6.900588069443705308e+01
3.517587939698492705e-01	3.709956030150752326e+01	-5.777203650440297622e+01	1.030246502475124117e+02	-1.055276381909548036e+02	-9.804882025555534142e+01	7.103546542074390402e+01
3.618090452261306655e-01	3.815954773869344763e+01	-5.942266611881449023e+01	1.059682116831555874e+02	-1.085427135678391721e+02	-1.008502151199998167e+02	7.306505014705106760e+01
3.718592964824120606e-01	3.921953517587938620e+01	-6.107329573322600424e+01	1.089117731187988483e+02	-1.115577889447236117e+02	-1.036516099844442351e+02	7.509463487335798959e+01
3.819095477386934556e-01	4.027952261306531057e+01	-6.272392534763751115e+01	1.118553345544419955e+02	-1.145728643216080229e+02	-1.064530048488887246e+02	7.712421959966491158e+01
