v4_mm	P_N	P_kN
8.839121585173657536e+01	5.676232726130651281e+04	5.676232726130650974e+01
8.925779639930260601e+01	5.731882066582912375e+04	5.731882066582912216e+01
9.012437694686866507e+01	5.787531407035174198e+04	5.787531407035174169e+01
9.099095749443470993e+01	5.843180747487435292e+04	5.843180747487435411e+01
9.185753804200074057e+01	5.898830087939696386e+04	5.898830087939696654e+01
9.272411858956678543e+01	5.954479428391957481e+04	5.954479428391957185e+01
9.359069913713284450e+01	6.010128768844219303e+04	6.010128768844219138e+01
9.445727968469888935e+01	6.065778109296480397e+04	6.065778109296480380e+01
9.532386023226492000e+01	6.121427449748741492e+04	6.121427449748741623e+01
9.619044077983096486e+01	6.177076790201002586e+04	6.177076790201002865e+01
9.705702132739702392e+01	6.232726130653264408e+04	6.232726130653264107e+01
9.792360187496306878e+01	6.288375471105525503e+04	6.288375471105525349e+01
9.879018242252909943e+01	6.344024811557786597e+04	6.344024811557786592e+01
9.965676297009515849e+01	6.399674152010048419e+04	6.399674152010048545e+01
1.005233435176612034e+02	6.455323492462309514e+04	6.455323492462309787e+01
1.013899240652272340e+02	6.510972832914570608e+04	6.510972832914571029e+01
1.022565046127932931e+02	6.566622173366832430e+04	6.566622173366832271e+01
1.031230851603593379e+02	6.622271513819093525e+04	6.622271513819093514e+01
1.039896657079253828e+02	6.677920854271354619e+04	6.677920854271354756e+01
1.048562462554914134e+02	6.733570194723615714e+04	6.733570194723615998e+01
1.057228268030574583e+02	6.789219535175876808e+04	6.789219535175877240e+01
1.065894073506235031e+02	6.844868875628137903e+04	6.844868875628138483e+01
1.074559878981895480e+02	6.900518216080398997e+04	6.900518216080398304e+01
1.083225684457556071e+02	6.956167556532661547e+04	6.956167556532660967e+01
1.091891489933216519e+02	7.011816896984922641e+04	7.011816896984922209e+01
1.100557295408876968e+02	7.067466237437183736e+04	7.067466237437183452e+01
1.109223100884537274e+02	7.123115577889444830e+04	7.123115577889444694e+01
1.117888906360197723e+02	7.178764918341705925e+04	7.178764918341705936e+01
1.126554711835858171e+02	7.234414258793967019e+04	7.234414258793967178e+01
1.135220517311518620e+02	7.290063599246228114e+04	7.290063599246228421e+01
1.143886322787179211e+02	7.345712939698490663e+04	7.345712939698491084e+01
1.152552128262839659e+02	7.401362280150751758e+04	7.401362280150752326e+01
1.161217933738500108e+02	7.457011620603012852e+04	7.457011620603012148e+01
1.169883739214160556e+02	7.512660961055273947e+04	7.512660961055273390e+01
1.178549544689820863e+02	7.568310301507535041e+04	7.568310301507534632e+01
1.187215350165481311e+02	7.623959641959796136e+04	7.623959641959795874e+01
1.195881155641141760e+02	7.679608982412057230e+04	7.679608982412057117e+01
1.204546961116802208e+02	7.735258322864318325e+04	7.735258322864318359e+01
1.213212766592462799e+02	7.790907663316580874e+04	7.790907663316581022e+01
1.221878572068123248e+02	7.846557003768841969e+04	7.846557003768842264e+01
1.230544377543783696e+02	7.902206344221103063e+04	7.902206344221103507e+01
1.239210183019444003e+02	7.957855684673364158e+04	7.957855684673364749e+01
1.247875988495104451e+02	8.013505025125625252e+04	8.013505025125624570e+01
1.256541793970764900e+02	8.069154365577886347e+04	8.069154365577885812e+01
1.265207599446425348e+02	8.124803706030147441e+04	8.124803706030147055e+01
1.273873404922085939e+02	8.180453046482409991e+04	8.180453046482409718e+01
1.282539210397746388e+02	8.236102386934671085e+04	8.236102386934670960e+01
1.291205015873406694e+02	8.291751727386932180e+04	8.291751727386932203e+01
1.299870821349067285e+02	8.347401067839193274e+04	8.347401067839193445e+01
1.308536626824727591e+02	8.403050408291454369e+04	8.403050408291454687e+01
1.317202432300388182e+02	8.458699748743715463e+04	8.458699748743715929e+01
1.325868237776048488e+02	8.514349089195976558e+04	8.514349089195977172e+01
1.334534043251708795e+02	8.569998429648237652e+04	8.569998429648236993e+01
1.343199848727369670e+02	8.625647770100500202e+04	8.625647770100499656e+01
1.351865654203029976e+02	8.681297110552761296e+04	8.681297110552760898e+01
1.360531459678690283e+02	8.736946451005022391e+04	8.736946451005022141e+01
1.369197265154350873e+02	8.792595791457283485e+04	8.792595791457283383e+01
1.377863070630011180e+02	8.848245131909544580e+04	8.848245131909544625e+01
1.386528876105671486e+02	8.903894472361805674e+04	8.903894472361805867e+01
1.395194681581332077e+02	8.959543812814066769e+04	8.959543812814067110e+01
1.403860487056992667e+02	9.015193153266329318e+04	9.015193153266329773e+01
1.412526292532652974e+02	9.070842493718590413e+04	9.070842493718591015e+01
1.421192098008313565e+02	9.126491834170851507e+04	9.126491834170850836e+01
1.429857903483973871e+02	9.182141174623112602e+04	9.182141174623112079e+01
1.438523708959634462e+02	9.237790515075373696e+04	9.237790515075373321e+01
1.447189514435294768e+02	9.293439855527634791e+04	9.293439855527634563e+01
1.455855319910955075e+02	9.349089195979895885e+04	9.349089195979895806e+01
1.464521125386615665e+02	9.404738536432156980e+04	9.404738536432157048e+01
1.473186930862276256e+02	9.460387876884419529e+04	9.460387876884419711e+01
1.481852736337936562e+02	9.516037217336680624e+04	9.516037217336680953e+01
1.490518541813597153e+02	9.571686557788941718e+04	9.571686557788942196e+01
1.499184347289257460e+02	9.627335898241202813e+04	9.627335898241203438e+01
1.507850152764918050e+02	9.682985238693463907e+04	9.682985238693463259e+01
1.516515958240578357e+02	9.738634579145725002e+04	9.738634579145724501e+01
1.525181763716238663e+02	9.794283919597986096e+04	9.794283919597985744e+01
1.533847569191899538e+02	9.849933260050248646e+04	9.849933260050248407e+01
1.542513374667559845e+02	9.905582600502509740e+04	9.905582600502509649e+01
1.551179180143220151e+02	9.961231940954770835e+04	9.961231940954770891e+01
1.559844985618880742e+02	1.001688128140703193e+05	1.001688128140703213e+02
1.568510791094541048e+02	1.007253062185929302e+05	1.007253062185929338e+02
1.577176596570201355e+02	1.012817996231155412e+05	1.012817996231155462e+02
1.585842402045861945e+02	1.018382930276381521e+05	1.018382930276381586e+02
1.594508207521522252e+02	1.023947864321607631e+05	1.023947864321607568e+02
1.603174012997182842e+02	1.029512798366833886e+05	1.029512798366833835e+02
1.611839818472843433e+02	1.035077732412059995e+05	1.035077732412059959e+02
1.620505623948503739e+02	1.040642666457286105e+05	1.040642666457286083e+02
1.629171429424164330e+02	1.046207600502512214e+05	1.046207600502512207e+02
1.637837234899824637e+02	1.051772534547738323e+05	1.051772534547738331e+02
1.646503040375484943e+02	1.057337468592964433e+05	1.057337468592964456e+02
1.655168845851145534e+02	1.062902402638190542e+05	1.062902402638190580e+02
1.663834651326806124e+02	1.068467336683416797e+05	1.068467336683416846e+02
1.672500456802466431e+02	1.074032270728642907e+05	1.074032270728642970e+02
1.681166262278127022e+02	1.079597204773869016e+05	1.079597204773868953e+02
1.689832067753787328e+02	1.085162138819095126e+05	1.085162138819095077e+02
1.698497873229447919e+02	1.090727072864321235e+05	1.090727072864321201e+02
1.707163678705108225e+02	1.096292006909547345e+05	1.096292006909547325e+02
1.715829484180768532e+02	1.101856940954773454e+05	1.101856940954773449e+02
1.724495289656429122e+02	1.107421874999999563e+05	1.107421874999999574e+02
