x	exact	n1	n2	n3	n4	n5	n8	n12	n20	n30	n50
0.933868	1.433868	0.817602	1.234323	1.298170	1.364920	1.370212	1.410292	1.422172	1.423609	1.422471	1.422285
0.935872	1.435872	0.821115	1.235238	1.300353	1.366981	1.372131	1.412315	1.424235	1.425619	1.424459	1.424563
0.937876	1.437876	0.824635	1.236127	1.302562	1.369036	1.374058	1.414343	1.426291	1.427610	1.426451	1.426820
0.939880	1.439880	0.828163	1.236989	1.304797	1.371083	1.375994	1.416374	1.428340	1.429581	1.428448	1.429045
0.941884	1.441884	0.831698	1.237825	1.307060	1.373124	1.377939	1.418408	1.430382	1.431533	1.430451	1.431229
0.943888	1.443888	0.835241	1.238635	1.309351	1.375157	1.379892	1.420447	1.432414	1.433465	1.432460	1.433361
0.945892	1.445892	0.838792	1.239417	1.311669	1.377182	1.381855	1.422489	1.434438	1.435380	1.434474	1.435433
0.947896	1.447896	0.842350	1.240173	1.314017	1.379200	1.383828	1.424534	1.436452	1.437277	1.436493	1.437441
0.949900	1.449900	0.845915	1.240902	1.316393	1.381208	1.385811	1.426583	1.438456	1.439160	1.438517	1.439381
0.951904	1.451904	0.849488	1.241603	1.318800	1.383208	1.387805	1.428634	1.440450	1.441030	1.440545	1.441253
0.953908	1.453908	0.853069	1.242278	1.321236	1.385198	1.389810	1.430688	1.442434	1.442890	1.442578	1.443061
0.955912	1.455912	0.856657	1.242925	1.323703	1.387179	1.391826	1.432744	1.444408	1.444744	1.444613	1.444815
0.957916	1.457916	0.860253	1.243545	1.326201	1.389150	1.393855	1.434802	1.446372	1.446595	1.446651	1.446525
0.959920	1.459920	0.863856	1.244137	1.328730	1.391111	1.395895	1.436861	1.448325	1.448447	1.448689	1.448207
0.961924	1.461924	0.867466	1.244701	1.331292	1.393061	1.397949	1.438921	1.450270	1.450305	1.450728	1.449881
0.963928	1.463928	0.871085	1.245238	1.333886	1.394999	1.400016	1.440981	1.452205	1.452174	1.452766	1.451570
0.965932	1.465932	0.874710	1.245746	1.336513	1.396926	1.402097	1.443041	1.454132	1.454058	1.454801	1.453296
0.967936	1.467936	0.878344	1.246227	1.339173	1.398841	1.404193	1.445100	1.456052	1.455962	1.456832	1.455083
0.969940	1.469940	0.881984	1.246679	1.341868	1.400744	1.406303	1.447157	1.457965	1.457891	1.458859	1.456953
0.971944	1.471944	0.885633	1.247103	1.344597	1.402634	1.408429	1.449211	1.459875	1.459849	1.460880	1.458922
0.973948	1.473948	0.889289	1.247499	1.347361	1.404511	1.410570	1.451261	1.461781	1.461841	1.462894	1.461002
0.975952	1.475952	0.892952	1.247866	1.350161	1.406374	1.412728	1.453307	1.463687	1.463868	1.464900	1.463192
0.977956	1.477956	0.896623	1.248204	1.352997	1.408223	1.414902	1.455347	1.465595	1.465932	1.466898	1.465484
0.979960	1.479960	0.900301	1.248514	1.355869	1.410057	1.417095	1.457380	1.467507	1.468034	1.468888	1.467850
0.981964	1.481964	0.903987	1.248795	1.358779	1.411877	1.419305	1.459405	1.469426	1.470171	1.470869	1.470253
0.983968	1.483968	0.907681	1.249046	1.361726	1.413681	1.421534	1.461420	1.471357	1.472338	1.472844	1.472637
0.985972	1.485972	0.911382	1.249269	1.364711	1.415469	1.423781	1.463424	1.473302	1.474527	1.474814	1.474939
0.987976	1.487976	0.915090	1.249462	1.367735	1.417241	1.426049	1.465415	1.475266	1.476726	1.476781	1.477091
0.989980	1.489980	0.918807	1.249626	1.370798	1.418996	1.428337	1.467393	1.477255	1.478917	1.478749	1.479039
0.991984	1.491984	0.922530	1.249760	1.373901	1.420733	1.430646	1.469354	1.479272	1.481078	1.480721	1.480756
0.993988	1.493988	0.926261	1.249865	1.377043	1.422453	1.432977	1.471297	1.481325	1.483178	1.482705	1.482282
0.995992	1.495992	0.930000	1.249940	1.380227	1.424154	1.435329	1.473220	1.483420	1.485180	1.484707	1.483766
0.997996	1.497996	0.933746	1.249985	1.383452	1.425837	1.437705	1.475120	1.485563	1.487037	1.486735	1.485533
1.000000	1.500000	0.937500	1.250000	1.386719	1.427500	1.440104	1.476997	1.487762	1.488691	1.488799	1.488168
